Название;Описание;Цена;Цена до скидки;Фото 1;Фото 2;Фото 3;Категория;Sub category;Бренд
"UJALA, Vyas (УДЖАЛА, тоник для глаз, Вьяс), 100 таб.
";"Витамины для глаз Уджала - это травяная формула целебных растений, тонко подобранная для поддержания здоровья глаз и улучшение ослабленного зрения.

Травы, входящие в состав таблеток Уджала, снимают напряжение глаз, усталость от долгой работы за компьютером, устраняют глазное и внутричерепное давление, покраснение глаз, конъюнктивиты.

Тоник уджала применяется как вспомогательное средство при лечении катаракты, способствуя очищению хрусталика, сосудов и слёзных каналов.

Способ применения: Принимать по 1-2 таблетки два раза в день, за тридцать минут до приема пищи или спустя час после приема пищи. Курс приема два - три месяца в году для профилактики глазных заболеваний.

При совместной терапии катаракты прием должен быть длительный пять – шесть месяцев.:";468;520;https://india-bazar.ru/images/stories/virtuemart/product/NCiuiTQVGQw.jpg;;;Здоровье;Бад;Vyas
"SHANKHA PUSHPI tablet, Vyas (ШАНКХА ПУШПИ, антистресс и улучшение памяти, Вьяс), 100 таб.
";"Шанкха Пушпи (Shankha Pushpi) – это аюрведическое средство для нормализации работы нервной системы. Снимает стресс, улучшает память и внимание, повышает интеллект, сохраняет и улучшает функции головного мозга, повышает обучаемость и запоминаемость информации, помогает выработать высокую скорость реакции. Шанкха Пушпи также поддерживает сосуды в тонусе, нормализует кровообращение, снижает холестерин и давление.

С современным темпом жизни порой сложно справиться с огромным потоком информации, который ""льётся"" на нас со всех сторон. Шанкхапушпи - препарат Аюрведы повышающий возможности работы мозга и является отличным тоником для ума. Растительные компоненты, входящие в состав этого препарата, работают как мозговой тоник, комплексно воздействует на все функции нашего мозга, повышая концентрацию внимания, улучшая память и способность к запоминанию информации у школьников, повышает работоспособность.
Одно из главных средств Аюрведы которое активизирует и поддерживает нервные и мозговые клетки. Шанкха пушпи улучшает память, продляет жизнь, тормозит процессы старения и придаёт сил людям пожилого возраста. Усиливает иммунитет, укрепляет ментальное здоровье, поддерживает нервную систему в тонусе, способствует умственному развитию.

Обычно Шанкха пушпи используют в комплексе с другими травами, добавляя в составы для усиления эффекта от их воздействия.

К примеру, если принимать Брахмарассаяну с Шанкха пушпи, многократно усиливается эффект приёма. Хороший эффект даёт сочетание Брами и Шанкха Пушпи. Чаванапраш в комплексе с шанкха пушпи тоже усиливает свои свойства.";486;540;https://india-bazar.ru/images/stories/virtuemart/product/shankha-pushpi-tablet-vyas-shankkha-pushpi-antistress-i-uluchshenie-pamyati-vyas-100-tab.jpg;;;Здоровье;Бад;Vyas
"MEDONIL tablet, Vyas (МЕДОНИЛ, Средство для похудения, Вьяс), 100 таб.
";"Медонил является уникальным препаратом, который так же, как и препарат Slimcal, безопасно и эффективно помогает контролировать вес. Медонил ускоряет обмен веществ, сжигая калории, устраняет тягу к сладкому и снижает лишний вес. Кроме того, травы, которые входят в состав препарата, нормализуют работу нервной, выделительной, пищеварительной системы, тонизируют и омолаживают организм в целом. Чтобы понять за счет чего происходит столь комплексное воздействие стоит разобрать более подробно компоненты Медонила.

У 60 % женщин после менопаузы происходит быстрая прибавка веса, а у многих развивается ожирение, что значительно повышает риск ИБС, сахарного диабета, других заболеваний и снижает качество и продолжительность жизни.

В основе патогенеза ожирения у женщин в климактерическом периоде лежит возрастной дефицит эстрогенов, который удается компенсировать путем заместительной терапии половыми гормонами.
Для заместительной гормональной терапии (ЗГТ) у женщин с ожирением наиболее предпочтительны трансдермальные формы эстрогенов,а в качестве прогестагенового компонента как в краткосрочном,так и в долгосрочном режимах следует применять натуральный микронизированный прогестерон.";504;560;https://india-bazar.ru/images/stories/virtuemart/product/medonil-tablet-vyas-medonil-sredstvo-dlya-pokhudeniya-vyas-100-tab.jpg;https://india-bazar.ru/images/stories/virtuemart/product/medonil-tablet-vyas-medonil-sredstvo-dlya-pokhudeniya-vyas-100-tab1.jpg;;Здоровье;Бад;Vyas
"Медохар Вати нормализует Вес, Medohar Vati Divya Patanjali, 100 таб
";"Медохар Вати — выдающийся аюрведический травяной продукт для снижения веса. За неделю он улучшает пищеварение и уменьшает отложение жира. Он сочетает в себе омолаживающее действие с глубоко проникающим и очищающим действием. Это уникальная формула для похудения естественным путем. Этот продукт доказал свою эффективность в естественном сжигании молекул жира.  Он помогает контролировать аппетит, а также оказывает благотворное влияние на обмен веществ. Устраняет желание есть пищу в течение длительного периода времени. Это превосходный продукт для контроля всех видов заболеваний пищеварительной системы. Медохар Вати может быть принят людьми всех возрастов. Дети могут принимать это средство, чтобы контролировать свой вес естественным путем. Он помогает остановить тягу к жирной пище, которая является основной причиной ожирения у маленьких детей. Также воздействует на щитовидную железу, помогая сбалансировать гормоны, которые поддерживают должную массу тела. Особенно полезен при расстройствах щитовидной железы (гипо- и гиперфункции щитовидной железы).  Помогает в преобразовании лишнего жира в полезные ткани таких элементов, как мышцы, кости, костный мозг и др. Наращивает силу мышц. Питает ткани и позволяет им стать физически сильными и здоровыми. Укрепляет органы в теле. Медохар Вати делает Вас активным и даёт Вам больше физической энергии. Это повышает Ваш энергетический уровень, делая Вас активным и здоровым. Устраняет симптомы усталости.  Помогает регулировать функции пищеварения, нормализуя основной уровень метаболизма. Ускоряет обмен веществ. Также он очень хорошо контролирует уровень холестерина и липидов в крови. Нормализует кровяное давление. Питает мозг и наполняет его энергией. Предотвращает болезни сердца. Даёт энергию, нормализует давление и сердечный ритм. Устраняет ревматоидный артрит, боли в суставах, боли в поясничной области и в коленных суставах. 

Источник: https://www.ayurfresh.ru/medohar-vati-medohar-vati-divya-pharmacy-50gr-100-tab";322;;https://indianayurveda.ru/image/cache/catalog/400x500DivyaMuktaVatiextraPower30x4tab-850x700.png;;;Здоровье;Бад;Patanjali
"SHILAJIT Capsules, Dabur (ШИЛАДЖИТ (МУМИЁ), Дабур), 30 капс.
";"Гималайское мумиё Шиладжит Дабур, Shilajit Dabur

Шиладжитом в Индии называют мумиё и широко используют в традиционной тибетской и индийской медицине.

Знаменитый индийский Шиладжит ― слёзы гор, победитель гор.

Шиладжит ― природные минералы в ионной форме, которые существенно отличаются от минералов, содержащихся в других биодобавках. Минералы, входящие в шиладжит, впитывались растениями из земли и воздуха на протяжении тысячелетий, а затем опять возвращались в землю в виде смолы мумиё. Это природная кладезь минералов, легко усеваемых организмом.

Шиладжит Дабур производится из масс, добываемых в Гималаях ― самой большой горной системы на планете. Для применения в медицинской практике, смолу очищают от примесей песка и щебня, с соблюдением необходимых гигиенических стандартов. В состав шиладжита входят смолоподобные, органические и неорганические вещества, 28 химических элементов, микро и макро элементы, окиси металлов, шесть аминокислот и эфирные масла. В традиционной индийской медицине мумиё используют как расаяну – омолаживающие общеукрепляющее средство, придающие жизненные силы организму. Также мумиё используется при лечении различных заболеваний в комплексе с лекарственными травами, на усмотрение врача.";504;560;https://india-bazar.ru/images/stories/virtuemart/product/shilajit-capsules-dabur-shiladzhit-mumijo-dabur-30-kaps.jpg;;;Здоровье;Бад;Dabur
"RHEUMATIL tablets Dabur (Ревматил, таблетки при болях опорно-двигательного аппарата, Дабур), 90 таб.
";"Ревматил - эффективный аюрведический препарат, применяемый для облегчения болезненных симптомов при травмах и других недугах, связанных с суставами, связками и сухожилиями. Выступает стимулятором восстановления травмированных тканей опорно-двигательного аппарата.

Данное средство способствует устранению боли и отёка суставных тканей, нейтрализует мышечные спазмы. Содержит растительные ингредиенты, которые снижают интенсивность воспалительного процесса, оказывают тонизирующий и укрепляющий эффект на мышцы, костную ткань и суставы, облегчая состояние при ревматизме, артрите, остеоартрите, артрозе, полиартрите, подагре, невралгии, радикулите и др.

Полезные микроэлементы и минералы в составе Ревматила, обуславливают его благотворный эффект на глубоком уровне, что способствует регуляции окислительно-восстановительного процесса в пораженных воспалением тканях и обмен кальция. Всё это вызывает сокращение солевых отложений кальция и остеофитов, негативно влияющих на подвижность суставов.

В отличие от множества медицинских средств аналогичного свойства, представленный препарат не оказывает побочных эффектов. Регулярное его применение постепенно вернет Вас к привычному образу жизни с плодотворной деятельностью без боли. Средство поможет в лечении и самой причины имеющейся боли, а также других симптомов проявления недуга, будь то снижение подвижности суставов, растяжение сухожилий, повреждение тканей организма и др.

Для получения наиболее выраженного эффекта от препарата рекомендуем Вам его парное применение с гелем Ревматил для наружного использования.";576;640;https://india-bazar.ru/images/stories/virtuemart/product/rheumatil-tablets-dabur-revmatil-tabletki-pri-bolyakh-oporno-dvigatelnogo-apparata-dabur-90-tab.jpg;;;Здоровье;Бад;Dabur
"Псоролин Крем от псориаза, 75 г/Индия/Дерматит/Лишай/Трещины/Аюрведа/Psorolin Cream
";"Псоролин крем  является очень эффективным средством лечения на этапе распространения псориаза. Он контролирует гиперкератоз. Клинические испытания на кафедре дерматологии медицинского колледжа Мадраса, Ченная доказали - крем Psorolin очень эффективен для лечения псориаза и грибковых инфекций кожи.

Псориаз - аутоиммунное заболевание кожи, характеризуется гиперкератозом (чрезмерное утолщение рогового слоя эпидермиса), покраснением и воспалением кожи, зудом.
При псориазе регенерация клеточного цикла уменьшается с 28 дней до 3-4 дней, в результате чего клетки кожи (кератиноциты) быстро размножаются, что приводит к появлению чешуек и шелушению кожи.Псориазу подвержены все возрастные группы.Болезнь может проявиться на любой части тела, но чаще всего поражает локти, колени, волосистую часть головы.";1296;1787;https://cdn1.ozone.ru/s3/multimedia-i/wc1000/6246251934.jpg;;;Красота;Уход за телом;Psorolin
"Dr Ortho Ayurvedic JOINT PAIN Oil (Аюрведическое масло при болях в суставах, Доктор Орто), 120 мл.
";"Dr. Ortho Аюрведическое лекарственное масло

Dr. Ortho Ayurvedic Лекарственное масло - это 100% аюрведическая медицина без каких-либо побочных эффектов, основанная на безопасной и безвредной аюрведической теории, которая помогает уменьшить боли в суставах, боль в спине, мышечном растяжении, жесткость суставов, ишиас.";774;860;https://india-bazar.ru/images/stories/virtuemart/product/dr-ortho-ayurvedic-joint-pain-oil-ayurvedicheskoe-maslo-pri-bolyakh-v-sustavakh-doktor-orto-120-ml.jpg;;;Здоровье;Уход за телом;Dr Ortho
"100% Ayurvedic Capsules DR. ORTHO (Доктор Орто аюрведические обезболивающие капсулы), 30 капс.
";"Аюрведические обезболивающие капсулы ""Доктор Орто"" для профилактики и лечения болей в суставах и спине.

Dr. Ortho – уникальная разработка индийского врача ,специалиста с более чем двадцатилетним опытом в области заболеваний суставов.

""Доктор Орто"" используется для профилактики и лечения болей в суставах и спине, артрита, воспаления суставов. Помогает уменьшить боли в суставах, спине, при мускульных растяжениях, при радикулите.

Безопасное и безвредное аюрведические средство без каких-либо побочных эффектов.

Продолжай Двигаться

Боль в суставах поражает миллионы людей каждый день и является симптомом, связанным с десятками различных расстройств. Суставы - это ткани, которые соединяют кости и помогают поддерживать движения по всему телу. Эта проблема вызвана нездоровым питанием и отсутствием физических нагрузок. Никто не хочет оставлять боль в суставах без лечения. Поэтому ищут лучшее средство с натуральными лечебными средствами в аюрведе.

О продукте

Аюрведические капсулы Dr. Ortho имеют смесь проверенных временем целебных трав. Эти Аюрведические травы имеют доказанную эффективность в лечении болей. Комплекс из 8 экстрактов применяется из-за лечебной эффективности. Это помогает лечить тяжелые суставные заболевания с помощью направленного действия на область больного сустава. Поможет эффективно лечить такие боли, как боль колена, боль в пояснице и другие боли мускульных соединений. Аюрведические капсулы Dr. Ortho были разработаны с использованием аюрведических трав, проверенных временем, для того, чтобы помочь в управлении болью.";396;440;https://india-bazar.ru/images/stories/virtuemart/product/dr-ortho-doktor-orto-ayurvedicheskie-obezbolivayushchie-kapsuly-30-kaps.jpg;;;Здоровье;Бад;Dr Ortho
"NEERI Tablets, Aimil (НИРИ, Аимил), 1 блистер 30 таб.
";"Нири (NEERI) — аюрведический состав идеально подобранных природных компонентов, разработанный на основе научных исследований. Этот препарат оказывает сильное терапевтическое воздействие (без побочных эффектов) при различных типах расстройств, таких как камни в почках, инфекции мочевыводящих путей, простата и сопутствующие проблемы. Этот препарат прошёл клинические испытания и показал себя эфективным и надёжным аюрведическим средством при лечении причин и последствий растройств почек и мочеполовой системы. NEERI содержит растительные экстракты, эффективность и безопасность которых была научно подтверждена. Эти экстракты являются природными источниками нескольких фито-компонентов, таких как арбутина, хинолона, биофлавоноида, гликозиды, дубильных веществ и др., которые помогают нормализовать функционирование почек, мочеточников, мочевого пузыря и предстательной железы.";288;320;https://india-bazar.ru/images/stories/virtuemart/product/neeri-tablets-aimil-niri-aimil-1-blister-30-tab77.jpg;https://india-bazar.ru/images/stories/virtuemart/product/neeri-tablets-aimil-niri-aimil-1-blister-30-tab.jpg;;Здоровье;Бад;Aimil
"EVANOVA capsules Charak (Еванова (Эванова), капсулы для женщин в климактерический период, Чарак), 20 капс.
";"EVANOVA является безопасной и эффективной разработкой, что обеспечивает максимальное облегчение от многочисленных симптомов менопаузы. ЕВАНОВА, богатый источник изофлавонов (из сои), обеспечивает фитоэстрогенную поддержку для снижения интенсивности и частоты приливов и ночных потов во время менопаузального перехода. EVANOVA с его ингредиентами, такими как Jatamansi (Nardostachys jatamansi), Shankhpushpi (Celastrus paniculatus) и Brahmi (Herpestis monniera) помогает справиться с раздражительностью, бессонницей, перепадом настроения и усталостью. EVANOVA предлагает негормональный подход для достижения наилучшей профилактики для облегчения симптомов перименопаузы без вредных последствий гормонозаместительной терапии (ЗГТ). Эванова играет важную роль в профилактике постменопаузальных осложнений, включая остеопороз, сердечно-сосудистые нарушения. ЭВАНОВА также улучшает нарушенный липидный профиль. Эванова доверяет выдающимся гинекологам в управлении симптомами менопаузы после хирургического удаления матки.

";315;350;https://india-bazar.ru/images/stories/virtuemart/product/evanova-capsules-charak-evanova-kapsuly-dlya-zhenshchin-v-klimaktericheskij-period-charak-20-kaps.jpg;;;Здоровье;Бад;Charak
"IMMUGEN Immuno-enhancer, Sri Sri Tattva (ИММУДЖЕН усилитель иммунитета, Шри Шри Таттва), 60 таб.
";"Иммуген играет ключевую роль в борьбе с состояниями, влияющими на иммунную систему и заболевания дыхательных путей.
Доказано, что Амла, Амрут и Тулси обладают иммуномодулирующим, укрепляющим и адаптогенным действием, что делает эту композицию уникальной.

НАЗНАЧЕНИЕ

Снижение иммунитета; заболевания дыхательных путей; включая инфекции и аллергии; бактериальные; вирусные инфекции.

АКТИВНЫЕ ИНГРИДИЕНТЫ

Амла - самый богатый источник витамина С в природе. Амла обладает антиоксидантными свойствами, иммуномодулирующим эффектом, стимулирует синтез гемоглобина.

Гудучи (Амрут, Амрит) является омолаживающим средством для питты и мощным укрепляющим средством в период восстановления после тяжёлых лихорадок и инфекционных болезней.

Туласи обладает адаптогенными качествами, приводит в гармонию телесные функции и помогает преодолевать стресс. Повышает иммунитет и является сильнодействующим антистрессовым средством и антиоксидантом.";455;506;https://india-bazar.ru/images/stories/virtuemart/product/immugen-immuno-enhancer-sri-sri-tattva-immudzhen-usilitel-immuniteta-shri-shri-tattva-60-tab.jpg;;;Здоровье;Бад;Sri Sri Tattva
"TRIFALA tab Shri Ganga (ТРИФАЛА, очищение и омоложение организма, Шри Ганга), 200 таб.
";"Трифала - древняя формула по оздоровлению организма, для его глубокого очищения и повышения защитной функции иммунитета. Трифала широко применяется в практике Аюрведы для лечения и профилактики множества заболеваний различных возрастных категорий.

Название продукта «Трифала» переводится как «три фрукта». Это объясняется тем, что препарат содержит в своем составе три плода: амлу, харитаки и бибхитаки. Древнеиндийский священный текст Чарака-самхита говорит о Трифале так: «Тот, кто принимает трифалу в течение года, избавится от всех болезней и доживет до ста лет!»

Препарат воздействует на все типы тканей человека и балансирует все три доши - Вата, Питту и Капху, приводя в состояние оптимального функционирования все системы жизнедеятельности организма. Благодаря такому эффекту самочувствие человека значительно улучшается. В каком бы возрасте он ни был, он значительно реже болеет и страдает желудочно-кишечными расстройствами. Вместе с этим улучшается состояние внешнего вида - кожи, волос и ногтей, уходят боли в суставах, быстрее заживают различные повреждения на теле - раны и ссадины, увеличивается активность и повышается работоспособность.

В результате мягкого и постепенного освобождения тела от амы (токсинов и шлаков) трифала тонизирует и омолаживает ткани организма, повышает эффективность обменных процессов. После очищения толстого и тонкого кишечника, а также печени и желчного пузыря, селезенки и поджелудочной железы, нормализуются все функции ЖКТ. Повышается выработка энзимов, которые разрушают сложные продукты до более простых, что способствует улучшению всасываемости полезных веществ с пищей, в результате чего организм начинает получать больше питательных веществ и витаминов для своей полноценной работы.

Воздействуя как энтеросорбент, препарат нормализует липидный обмен и позволяет контролировать аппетит за счет лучшего усвоения пищи, что делает его незаменимым средством в борьбе с избыточным весом. Кроме всего перечисленного, оно является источником витаминов, особенно витамина С и может использоваться в качестве пищевой добавки.

Трифала питает ум и тело, а на более глубоком уровне помогает очистить ауру, развить умственные способности и наладить работу чакр.";450;500;https://india-bazar.ru/images/stories/virtuemart/product/trifala-tab-shri-ganga-trifala-ochishchenie-i-omolozhenie-organizma-shri-ganga-200-tab.jpg;;;Здоровье;Бад;Shri Ganga
"RETINO - A 0,05% cream Janssen (Крем от акне РЕТИНО - А 0,05%, Джанссен), 20 г.
";"Крем Ретино-А - мощнейшее средство омолаживающее клетки кожи и избавляющее от угревой сыпи. Использование этого средства позволяет достигнуть большего результата омоложения, чем от применения кислотного и фенолового пилинга. 
Крем Retino-A оказывает мощнейший эффект при лечении акне в тяжелой форме и следов на коже после этого заболевания.
Также крем отлично справляется с гиперпигментацией, осветляет пигментный пятна при: мелазме, хлоазме, старческой гиперпигментации, веснушках.

Основным активным компонентом крема является третиноин. Третиноин позволяет омолодить кожу без дорогостоящих процедур и операций, придаёт коже красивый, естественный цвет, очищает и суживает поры, устраняет пигментные пятна, регулирует работу сальных желез.

Одноразовые процедуры глубокого очищения кожи кислотными пилингами могут привести к ожогам эпидермиса, следствием чего будет длительный период его восстановления. Использование крема с ретиноином не вызывает ожогов и раздражения кожи, действие крема имеет более мягкий широкий спектр воздействия.";432;480;https://india-bazar.ru/images/stories/virtuemart/product/janssen-retino-a-krem-ot-akne-retion-a-20-g.jpg;;;Красота;Уход за телом;Janssen
"RETINO - A 0,025% cream Janssen (Крем от акне РЕТИНО - А 0,025%, Джанссен), 20 г.
";"Крем Ретино-А - мощнейшее средство омолаживающее клетки кожи и избавляющее от угревой сыпи. Использование этого средства позволяет достигнуть большего результата омоложения, чем от применения кислотного и фенолового пилинга. 
Крем Retino-A оказывает мощнейший эффект при лечении акне в тяжелой форме и следов на коже после этого заболевания.
Также крем отлично справляется с гиперпигментацией, осветляет пигментный пятна при: мелазме, хлоазме, старческой гиперпигментации, веснушках.

Основным активным компонентом крема является третиноин. Третиноин позволяет омолодить кожу без дорогостоящих процедур и операций, придаёт коже красивый, естественный цвет, очищает и суживает поры, устраняет пигментные пятна, регулирует работу сальных желез.

Одноразовые процедуры глубокого очищения кожи кислотными пилингами могут привести к ожогам эпидермиса, следствием чего будет длительный период его восстановления. Использование крема с ретиноином не вызывает ожогов и раздражения кожи, действие крема имеет более мягкий широкий спектр воздействия.";594;660;https://india-bazar.ru/images/stories/virtuemart/product/retino-a-0-025-cream-janssen-krem-ot-akne-retino-a-dzhanssen-20-g-1.jpg;;;Красота;Уход за телом;Janssen
"Dabur Масло для волос Амла, 200 мл";"Масло Амлы для волос от компании Дабур - это прекрасное аюрведическое средство для здоровья и красоты волос и оздоровления кожи головы. Масло эффективно восстанавливает и укрепляет локоны, а также, помогает решить множество проблем с волосами и кожей головы. Средство оказывает мощное увлажняющее действие, оно интенсивно питает и смягчает волосы, восстанавливая их структуру от корней до самых кончиков. Масло активизирует кровоток кожи головы, усиливая питание волосяных луковиц, стимулирует быстрый рост волос, останавливает их чрезмерное выпадение. Обогащает волосы и кожу необходимыми витаминами и полезными микроэлементами. Масло дарит волосам объём, густоту и природное сияние, делает их здоровыми, мягкими и шелковистыми.

Масло Амлы помогает восстановить структуру, даже при сильном повреждении волоса. Средство обеспечивает поступление витаминов и микроэлементов в глубинные слои эпидермиса, обеспечивая интенсивное питание и омоложение кожи, предотвращает появление ранней седины и истощение волос. Пробуждает спящие волосяные луковицы, способствуя росту новых здоровых волос, устраняет перхоть, снимает воспаления, зуд и шелушение кожи.

Масло Амлы - это эффективнейшее средство для поддержания красоты и здоровья волос. Оно является богатейшим источником витамина С и мощным антиоксидантом, уплотняет волосы, придаёт им объём, густоту, силу, гладкость, эластичность и блеск.

При регулярном применении иасла для волос от компании Dabur, Ваши волосы станут здоровыми, сильными, блестящими и шелковистыми, увеличится их объём и густота!";557;599;https://cdn1.ozone.ru/s3/multimedia-8/wc1000/6012026132.jpg;;;Красота;Уход за волосами;Dabur
"Амла (Amla tab) Shri Ganga, 200 таб
";"АМЛА (Amla) компании Shri Ganga – всемирно известное исцеляющее средство очень широкого спектра действия. Его основа – растение Золотого ряда Аюрведы, «индийский крыжовник», называемый Амалаки, Амла, Амлаки, Амалки в разных индийских наречиях, очень богатый витамином С (до 3000 мг в одном плоде) и за счет этого обладающий целебным действием.
Амла омолаживает организм, вливает в него энергию, усиливает работу иммунной системы и повышает резистентность к заболеваниям, очищает организм от шлаков и токсинов, поддерживает функцию сердца, позитивно сказывается на состоянии зрения и кожи. Доказано, что она стимулирует синтез гемоглобина. Амла – антиоксидант и мощный регенератор, поэтому он входит в состав знаменитых Чаванпрашей, а также амла – одна часть из трех в формуле Трифалы.
В препарате Амла аскорбиновая кислота соединяется с галлиевой кислотой (источником полифенона) и с таниновым комплексом (эмбликан-А и эмбликан-В – экстракты эмблики), благодаря чему витамин С в его составе не распадается даже при температуре 100˚С и в высушенном виде сохраняется до трех лет. В амле содержатся также пектин, глюкоза, клетчатка, протеины, лимонная и никотиновая кислоты, каротин, рибофлавин, ниацин, тиамина бромид, метионин, триптофан, флавоноиды, дубильные вещества, минералы Ca, Fe, P, Cu, целлюлоза, альбумин, камедь, филембин и цитокинины (зеатин, зеатинрибозид, зеатиннуклеотид и супероксиддисмутаза).
Отдельно скажем об иммуномодулирующем действии Амлы. Повышать иммунитет нужно не всем и не всегда, поскольку существуют аутоиммунные заболевания (бронхиальная астма, инсулинзависимый сахарный диабет, гломерулонефрит, псориаз). Амла же гармонизирует иммунную систему.";522;550;https://cdn1.ozone.ru/s3/multimedia-l/wc1000/6257551869.jpg;;;Здоровье;Бад;Shri Ganga
"MAHABHRINGRAJ OIL Baidyanath (Махабринградж масло для волос, Бадьянатх), 100 мл.
";"Масло для волос Махабрингарадж – удивительный косметический продукт Аюрведы на основе древнего лекарственного растения брингарадж, которое оздоравливает кожу головы и укрепляет структуру волос. Лечит перхоть, выпадение волос, предотвращает седину и снимает напряжение скальпа за счёт стимуляции кровообращения кожи головы. Является отличным средством наружного применения при бессоннице.

Данное масло изготовлено в соответствии с традиционной рецептурой Аюрведы на основе целебного растения брингарадж, настоянного на кунжутном масле. Это чрезвычайно популярное в Индии средство, которое используется для ухода за волосами и лечения кожи головы. Кроме того, продукт обогащён обширным составом других не менее полезных трав, таких как экстракт лотоса, куркумы, алоэ, сандала и многих других.

Экспертами Аюрведы брингарадж рекомендуется при интенсивной потере волос у мужчин и женщин, вплоть до появления очагов облысения. Он способствует укреплению волосяных фолликул, их усиленному питанию, активирует кровоснабжение кожи головы, благодаря чему и прекращает выпадение. Проникая в структуру волос, оно оказывает глубокий эффект увлажнения и восстановления, а кожу слегка охлаждает, лечит от зуда, перхоти и раздражения.

Таким образом, Махабрингарадж можно с уверенностью отнести к стимулирующим тоникам для интенсивного роста и оживления структуры волос. Если втирать масло в кожу, то оно оказывает седативное воздействие, дарит глубокий и спокойный сон.

С Махабрингарадж Ваши волосы приобретут силу, заметный объём и эластичность. С его использованием проблема секущихся кончиков и появления новых седых волосков перестанет Вас волновать.

Данный продукт применяют в случае депрессии, при нарушении работы щитовидной железы и даже эпилепсии. Оно рекомендуется также в качестве массажного масла для всего тела.

Данное средство является одним из самых востребованных и популярных в системе Аюрведической медицины. Это абсолютно натуральное масло без парфюмерных отдушек.";476;520;https://india-bazar.ru/images/stories/virtuemart/product/mahabhringraj-oil-baidyanath-makhabringradzh-maslo-dlya-volos-badyanatkh-100-ml.png;https://india-bazar.ru/images/stories/virtuemart/product/mahabhringraj-oil-baidyanath-makhabringradzh-maslo-dlya-volos-badyanatkh-100-ml.jpg;;Красота;Уход за волосами;Baidyanath
